Speed_mph,Cumulative_s,Time_seconds,Distance_miles,Sector
106,0.333,0.067,0.00197277777777778,One
109,0.4,0.067,0.00202861111111111,One
111,0.467,0.066,0.002035,One
112,0.533,0.2,0.00622222222222222,One
111,0.733,0.4,0.0123333333333333,One
110,1.133,0.267,0.00815833333333333,One
109,1.4,0.4,0.0121111111111111,One
108,1.8,0.133,0.00399,One
107,1.933,0.134,0.00398277777777778,One
106,2.067,0.0659999999999998,0.00194333333333333,One
108,2.133,0.134,0.00402,One
109,2.267,0.0630000000000002,0.00190750000000001,One
108,2.33,0.203,0.00609,One
107,2.533,0.134,0.00398277777777778,One
106,2.667,0.133,0.00391611111111111,One
105,2.8,0.2,0.00583333333333334,One
104,3,0.2,0.00577777777777778,One
103,3.2,0.133,0.00380527777777778,One
102,3.333,0.284,0.00804666666666666,One
101,3.617,0.133,0.00373138888888889,One
96,3.75,0.0670000000000002,0.00178666666666667,One
95,3.817,0.0659999999999998,0.00174166666666666,One
94,3.883,0.0670000000000002,0.00174944444444445,One
93,3.95,0.0670000000000002,0.00173083333333334,One
95,4.017,0.0659999999999998,0.00174166666666666,One
97,4.083,0.133999999999999,0.00361055555555554,One
96,4.217,0.133,0.00354666666666667,One
95,4.35,0.0670000000000002,0.00176805555555556,One
94,4.417,0.133,0.00347277777777778,One
93,4.55,0.267,0.00689750000000001,One
92,4.817,0.666,0.01702,One
91,5.483,0.2,0.00505555555555556,One
93,5.683,0.0670000000000002,0.00173083333333334,One
96,5.75,0.0670000000000002,0.00178666666666667,One
98,5.817,0.0659999999999998,0.00179666666666666,Two
100,5.883,0.134,0.00372222222222223,Two
101,6.017,0.133,0.00373138888888889,Two
97,6.15,0.0669999999999993,0.00180527777777776,Two
98,6.217,0.133,0.00362055555555556,Two
99,6.35,0.133,0.0036575,Two
100,6.483,0.134,0.00372222222222223,Two
101,6.617,0.2,0.00561111111111112,Two
102,6.817,0.333,0.00943500000000001,Two
101,7.15,0.0669999999999993,0.0018797222222222,Two
100,7.217,0.0660000000000007,0.00183333333333335,Two
99,7.283,0.0669999999999993,0.00184249999999998,Two
98,7.35,0.0670000000000002,0.00182388888888889,Two
96,7.417,0.0659999999999998,0.00176,Two
95,7.483,0.0670000000000002,0.00176805555555556,Two
94,7.55,0.0670000000000002,0.00174944444444445,Two
93,7.617,0.0670000000000002,0.00173083333333334,Two
92,7.684,0.0670000000000002,0.00171222222222223,Two
91,7.751,0.0670000000000002,0.00169361111111112,Two
89,7.818,0.0670000000000002,0.00165638888888889,Two
88,7.885,0.0670000000000002,0.00163777777777778,Two
87,7.952,0.0669999999999993,0.00161916666666665,Two
86,8.019,0.0640000000000001,0.00152888888888889,Two
84,8.083,0.0670000000000002,0.00156333333333334,Two
83,8.15,0.0670000000000002,0.00154472222222223,Two
81,8.217,0.065999999999999,0.00148499999999998,Two
80,8.283,0.134,0.00297777777777779,Two
