Speed_mph,Time_seconds,Cumulative_Time,Distance_miles,Sector
110.006215,0.033,0.033,0.00100839,One
110.6277191,0.033,0.066,0.001014087,One
111.2492231,0.067,0.133,0.002070472,One
111.8707272,0.033,0.166,0.001025482,One
111.2492231,0.2,0.366,0.006180512,One
110.6277191,0.234,0.6,0.007190802,One
110.006215,0.366,0.966,0.011183965,One
109.384711,0.067,1.033,0.002035771,One
108.763207,0.2,1.233,0.0060424,One
109.384711,0.233,1.466,0.007079622,One
108.763207,0.067,1.533,0.002024204,One
108.1417029,0.067,1.6,0.002012637,One
107.5201989,0.033,1.633,0.000985602,One
106.8986948,0.067,1.7,0.001989503,One
108.1417029,0.033,1.733,0.000991299,One
108.763207,0.033,1.766,0.000996996,One
110.006215,0.033,1.799,0.00100839,One
110.6277191,0.067,1.866,0.002058905,One
111.2492231,0.033,1.899,0.001019785,One
110.6277191,0.067,1.966,0.002058905,One
110.006215,0.067,2.033,0.002047338,One
109.384711,0.033,2.066,0.001002693,One
108.763207,0.067,2.133,0.002024204,One
108.1417029,0.1,2.233,0.003003936,One
107.5201989,0.067,2.3,0.00200107,One
106.8986948,0.066,2.366,0.001959809,One
106.2771908,0.067,2.433,0.001977937,One
105.6556868,0.1,2.533,0.00293488,One
105.0341827,0.067,2.6,0.001954803,One
104.4126787,0.066,2.666,0.001914232,One
103.7911746,0.067,2.733,0.001931669,One
103.1696706,0.1,2.833,0.002865824,One
102.5481666,0.067,2.9,0.001908535,One
101.9266625,0.066,2.966,0.001868655,One
101.3051585,0.034,3,0.000956771,One
100.6836544,0.067,3.067,0.001873835,One
100.0621504,0.067,3.134,0.001862268,One
99.44064636,0.066,3.2,0.001823079,One
98.81914232,0.033,3.233,0.000905842,One
98.19763828,0.033,3.266,0.000900145,One
97.57613424,0.067,3.333,0.001816,One
96.95463021,0.033,3.366,0.000888751,One
96.33312617,0.034,3.4,0.000909813,One
91.36109385,0.066,3.466,0.001674953,One
91.98259789,0.034,3.5,0.000868725,One
93.22560597,0.033,3.533,0.000854568,One
93.84711001,0.033,3.566,0.000860265,One
94.46861405,0.034,3.6,0.000892204,One
95.09011809,0.066,3.666,0.001743319,One
95.71162213,0.067,3.733,0.0017813,One
95.09011809,0.2,3.933,0.005282784,One
95.71162213,0.2,4.133,0.005317312,One
96.33312617,0.167,4.3,0.004468787,One
96.95463021,0.066,4.366,0.001777502,One
96.33312617,0.1,4.466,0.00267592,One
95.71162213,0.134,4.6,0.003562599,One
95.09011809,0.7,5.3,0.018489745,One
94.46861405,0.066,5.366,0.001731925,One
93.84711001,0.034,5.4,0.000886334,One
95.71162213,0.033,5.433,0.000877357,One
96.95463021,0.033,5.466,0.000888751,One
98.81914232,0.034,5.5,0.000933292,One
100.0621504,0.033,5.533,0.000917236,One
100.6836544,0.033,5.566,0.000922933,Two
101.3051585,0.034,5.6,0.000956771,Two
101.9266625,0.066,5.666,0.001868655,Two
98.19763828,0.134,5.8,0.003655134,Two
97.57613424,0.133,5.933,0.003604896,Two
98.19763828,0.1,6.033,0.002727712,Two
98.81914232,0.067,6.1,0.001839134,Two
99.44064636,0.066,6.166,0.001823079,Two
100.0621504,0.1,6.266,0.002779504,Two
100.6836544,0.067,6.333,0.001873835,Two
101.3051585,0.1,6.433,0.002814032,Two
101.9266625,0.3,6.733,0.008493889,Two
101.3051585,0.067,6.8,0.001885402,Two
100.6836544,0.066,6.866,0.001845867,Two
100.0621504,0.067,6.933,0.001862268,Two
99.44064636,0.033,6.966,0.000911539,Two
98.81914232,0.034,7,0.000933292,Two
98.19763828,0.033,7.033,0.000900145,Two
97.57613424,0.033,7.066,0.000894448,Two
96.33312617,0.034,7.1,0.000909813,Two
95.71162213,0.033,7.133,0.000877357,Two
95.09011809,0.033,7.166,0.000871659,Two
94.46861405,0.034,7.2,0.000892204,Two
93.84711001,0.033,7.233,0.000860265,Two
93.22560597,0.033,7.266,0.000854568,Two
92.60410193,0.067,7.333,0.001723465,Two
91.98259789,0.034,7.367,0.000868725,Two
91.36109385,0.033,7.4,0.000837477,Two
90.73958981,0.066,7.466,0.001663559,Two
90.11808577,0.034,7.5,0.000851115,Two
89.49658173,0.066,7.566,0.001640771,Two
88.87507769,0.034,7.6,0.000839376,Two
88.25357365,0.066,7.666,0.001617982,Two
87.63206961,0.034,7.7,0.000827636,Two
87.01056557,0.033,7.733,0.000797597,Two
86.38906153,0.033,7.766,0.0007919,Two
85.76755749,0.067,7.833,0.00159623,Two
85.14605345,0.067,7.9,0.001584663,Two
84.52454941,0.033,7.933,0.000774808,Two
83.90304537,0.067,8,0.001561529,Two
83.28154133,0.1,8.1,0.002313376,Two
82.66003729,0.033,8.133,0.000757717,Two
82.03853325,0.367,8.5,0.008363373,Two
82.66003729,0.1,8.6,0.002296112,Two
83.28154133,0.133,8.733,0.00307679,Two
83.90304537,0.167,8.9,0.003892169,Two
83.28154133,0.033,8.933,0.000763414,Two
85.14605345,0.033,8.966,0.000780505,Two
87.01056557,0.034,9,0.000821766,Two
88.87507769,0.033,9.033,0.000814688,Two
90.11808577,0.033,9.066,0.000826082,Two
91.36109385,0.034,9.1,0.000862855,Two
92.60410193,0.033,9.133,0.000848871,Two
93.22560597,0.034,9.167,0.000880464,Two
93.84711001,0.033,9.2,0.000860265,Two
